0	-51.92997544000457
0.1	-52.278472160006885
0.2	-47.36208080000114
0.3	-32.97024783998836
0.4	-37.16963199999651
0.5	-26.62453719999803
0.6	-40.87786648000866
0.7	-35.39445415999103
0.8	-44.49778528000431
0.9	-39.02164391999719
1	-44.11224552000246
1.1	-34.807409119985266
1.2	-45.12730400000851
1.3	-42.9611882399995
1.4	-39.09196736000601
1.5	-46.902142880006124
1.6	-42.97671023999746
1.7	-36.159627200003825
1.8	-39.721769680004826
1.9	-31.218503840005354
2	-36.990576559990785
2.1	-35.2242393600076
2.2	-39.774716159994966
2.3	-36.27957695999791
2.4	-37.92284696000411
2.5	-38.329695759995474
2.6	-34.01260527999068
2.7	-30.144194880004136
2.8	-29.64779712000808
2.9	-40.32939199999677
3	-42.88375592000989
3.1	-41.3003786400009
3.2	-26.832038320007968
3.3	-34.63244752000301
3.4	-35.92191959999661
3.5	-27.864044159997036
3.6	-33.5440830400137
3.7	-33.558576639999785
3.8	-30.01109951999618
3.9	-27.442994479998447
4	-36.08998911999777
4.1	-29.830801360004045
4.2	-45.21101319999474
4.3	-47.83574847999569
4.4	-48.122110559983525
4.5	-43.84285927999761
4.6	-39.6874823200005
4.7	-46.38983496000026
4.8	-44.65255384000412
4.9	-36.96356504000204
5	-43.10491160000984
5.1	-41.058700720004
5.2	-34.45765183998927
5.3	-34.56638175998211
5.4	-40.27891783999647
5.5	-38.66895432000308
5.6	-40.34138536001521
5.7	-39.44109104000893
5.8	-34.96853440000638
5.9	-31.15721591999872
6	-30.862947599994754
6.1	-38.12995623999896
6.2	-37.17604583999491
6.3	-43.2789274399947
6.4	-36.47614719999865
6.5	-31.35980032000589
6.6	-43.33679871999911
6.7	-39.17566583999471
6.8	-32.638221040000815
6.9	-48.647974160006896
7	-32.34929175999835
7.1	-40.718240559999174
7.2	-36.81227439998685
7.3	-48.026087359994506
7.4	-36.21999808000686
7.5	-40.36883055999655
7.6	-42.51240215999496
7.7	-41.7348441600075
